"SYMBOL","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","DELIV_PER","DELIV_LACS","DATE"
"IDEA","8.3","8.33","60140244","37.47","1877","20210506"
"DMART","2878.15","2874.71","158581","39.84","1816","20210506"
"TRENT","778.15","779.26","665468","31.12","1613","20210506"
"JKCEMENT","2778.35","2774.16","60978","93.34","1578","20210506"
"BATAINDIA","1352.1","1358.11","252451","45.02","1543","20210506"
"EBBETF0430","1152.6","1152.49","89221","99.43","1022","20210506"
"MAHLIFE","467.6","472.69","205623","93.96","913","20210506"
"JSWISPL","55.65","55.65","1336128","99.98","743","20210506"
"NH","405.1","404.15","266783","63.01","679","20210506"
"MOREPENLAB","58.9","58.9","1099756","99.98","647","20210506"
"RCOM","1.7","1.65","50649845","66.95","559","20210506"
"BRIGADE","254.25","255.98","176405","94.57","427","20210506"
"ICICILIQ","1000.0","1000.0","24634","98.96","243","20210506"
"METROPOLIS","2340.5","2353.56","38007","25.1","224","20210506"
"RELAXO","894.1","897.25","67311","35.17","212","20210506"
"RPPINFRA","64.6","64.8","230900","95.72","143","20210506"
"TATASTEEL","1182.35","1163.52","54075433","9.81","61741","20210507"
"HDFC","2496.75","2471.14","4829852","40.22","48002","20210507"
"RELIANCE","1931.75","1940.01","5671163","42.64","46918","20210507"
"HDFCBANK","1414.75","1418.94","6024167","47.5","40605","20210507"
"INFY","1352.55","1357.23","4991435","54.43","36873","20210507"
"SAIL","144.25","141.17","164883787","15.01","34944","20210507"
"HINDALCO","401.1","396.21","46343220","16.43","30173","20210507"
"TCS","3132.9","3136.92","1912540","49.48","29687","20210507"
"VEDL","283.05","282.25","38947011","25.81","28375","20210507"
"SBIN","358.25","357.21","38357618","19.3","26438","20210507"
"TATACONSUM","629.0","625.35","14598653","27.79","25366","20210507"
"SRF","6279.15","6339.46","1359690","28.61","24662","20210507"
"WIPRO","515.25","512.83","14666581","31.95","24030","20210507"
"BHARTIARTL","568.5","567.84","12656867","32.94","23671","20210507"
"ADANIPORTS","767.75","763.24","20782117","14.86","23569","20210507"
"NATIONALUM","76.0","74.37","142651924","20.67","21930","20210507"
"HCLTECH","916.4","917.07","3651558","57.91","19392","20210507"
"ICICIBANK","607.1","608.56","10941083","26.6","17707","20210507"
"MARUTI","6703.05","6697.04","605050","38.86","15748","20210507"
"M&M","767.4","763.84","4833670","35.75","13197","20210507"
"ULTRACEMCO","6481.9","6480.87","745582","24.99","12075","20210507"
"BHEL","57.8","57.98","81272693","25.6","12064","20210507"
"AXISBANK","716.75","720.13","7131970","22.24","11421","20210507"
"KOTAKBANK","1780.35","1791.51","1610730","34.63","9993","20210507"
"BAJFINANCE","5493.8","5524.44","1851033","9.72","9935","20210507"
"LIQUIDBEES","1000.0","1000.01","1047955","92.15","9657","20210507"
"PNB","36.25","36.37","110980908","23.41","9450","20210507"
"MOTHERSUMI","220.9","221.82","12997665","31.08","8959","20210507"
"YESBANK","13.35","13.37","120981135","48.4","7829","20210507"
"BAJAJFINSV","11318.45","11192.64","343443","18.15","6975","20210507"
"APOLLOHOSP","3310.85","3340.3","774478","25.2","6518","20210507"
"MUTHOOTFIN","1211.7","1203.5","2141889","21.97","5663","20210507"
"IDFCFIRSTB","56.75","56.93","29913541","31.84","5422","20210507"
"RPOWER","6.05","5.8","152055878","53.22","4693","20210507"
"TRIDENT","15.25","14.98","81373515","37.12","4524","20210507"
"IDEA","8.3","8.28","108570333","47.01","4226","20210507"
"SOUTHBANK","9.3","9.1","139316824","29.46","3734","20210507"
"DMART","2895.5","2910.26","365600","28.54","3036","20210507"
"JKCEMENT","2779.55","2799.21","107682","95.71","2885","20210507"
"LALPATHLAB","2860.0","2867.68","288246","30.16","2492","20210507"
"TRENT","752.75","764.39","513294","34.67","1360","20210507"
"METROPOLIS","2275.65","2295.93","66702","37.73","577","20210507"
"BATAINDIA","1351.35","1352.37","137761","29.52","549","20210507"
"RELAXO","881.8","894.14","103601","45.72","423","20210507"
"JSWISPL","58.4","58.4","460460","100.0","268","20210507"
"ICICIGOLD","42.3","42.36","656201","95.02","264","20210507"
"EBBETF0431","1034.03","1034.45","25670","96.67","256","20210507"
"NH","412.0","411.27","118634","51.82","252","20210507"
"ICICIB22","36.52","36.4","746579","91.11","247","20210507"
"EKC","125.4","125.4","164735","100.0","206","20210507"
"ICICILIQ","999.99","1000.0","20556","99.35","204","20210507"
"EBBETF0430","1155.4","1154.81","12409","98.27","140","20210507"
"INFY","1339.55","1341.13","7195348","65.12","62843","20210510"
"HDFC","2531.35","2541.34","4289915","56.24","61318","20210510"
"RELIANCE","1926.2","1932.02","6433879","46.58","57896","20210510"
"TATASTEEL","1216.35","1214.33","28080884","15.23","51949","20210510"
"HDFCBANK","1419.85","1419.86","5530025","54.0","42403","20210510"
"TCS","3145.5","3145.94","2137153","58.87","39579","20210510"
"SBIN","361.7","362.87","41739324","24.85","37643","20210510"
"SAIL","146.3","147.29","114303952","22.16","37314","20210510"
"TATAMOTORS","314.85","310.52","53260388","20.73","34291","20210510"
"BHEL","65.65","62.91","258968781","20.7","33729","20210510"
"ICICIBANK","613.25","614.42","12060808","44.6","33050","20210510"
"HINDALCO","425.75","417.55","39516234","19.27","31801","20210510"
"LT","1395.0","1380.55","3929224","52.28","28360","20210510"
"BAJFINANCE","5497.5","5495.43","1997339","22.46","24655","20210510"
"NATIONALUM","81.5","79.12","99413238","31.24","24569","20210510"
"WIPRO","525.95","521.17","12544472","35.06","22919","20210510"
"COFORGE","3222.1","3242.47","2405760","28.96","22590","20210510"
"AXISBANK","715.25","718.72","7980462","37.96","21770","20210510"
"ULTRACEMCO","6403.1","6403.05","872011","28.79","16073","20210510"
"PNB","35.6","35.81","175653730","24.94","15689","20210510"
"MOTHERSUMI","234.7","229.0","21919884","31.25","15684","20210510"
"MARUTI","6764.0","6738.56","541534","42.94","15668","20210510"
"KOTAKBANK","1809.35","1803.52","1332490","47.78","11482","20210510"
"IDFCFIRSTB","55.35","55.77","49348021","36.97","10174","20210510"
"BAJAJFINSV","11332.0","11410.87","432037","19.18","9453","20210510"
"YESBANK","13.1","13.16","113970494","49.63","7443","20210510"
"M&M","780.45","778.62","2095644","38.62","6301","20210510"
"DMART","2852.45","2886.85","771218","27.81","6190","20210510"
"APOLLOHOSP","3323.7","3312.17","627199","27.91","5798","20210510"
"CPSEETF","24.72","24.5","24683975","94.6","5720","20210510"
"LALPATHLAB","2894.35","2892.34","415216","44.19","5306","20210510"
"SOUTHBANK","10.25","10.01","148086659","29.73","4406","20210510"
"IDEA","8.2","8.14","173571300","30.16","4261","20210510"
"MUTHOOTFIN","1222.95","1219.8","941440","31.04","3564","20210510"
"ICICITECH","263.78","262.83","909634","89.54","2140","20210510"
"JPASSOCIAT","8.25","7.94","75541170","32.71","1962","20210510"
"METROPOLIS","2281.35","2313.11","118657","65.85","1807","20210510"
"RELAXO","895.9","890.81","251499","80.5","1803","20210510"
"BATAINDIA","1348.55","1351.37","278032","43.37","1629","20210510"
"JPPOWER","3.3","3.22","72492375","54.46","1271","20210510"
"RPOWER","6.65","6.65","11619097","99.94","772","20210510"
"ICICILIQ","999.58","999.7","59213","98.32","582","20210510"
"TRENT","747.75","753.81","434021","17.67","577","20210510"
"JKCEMENT","2798.55","2792.48","24366","82.61","562","20210510"
"RENUKA","12.8","12.8","3680085","99.86","470","20210510"
"ICICIB22","37.48","37.19","1123217","93.76","391","20210510"
"NH","405.45","409.13","134055","65.13","357","20210510"
"ZUARIGLOB","82.05","81.25","393281","87.19","278","20210510"
"EBBETF0430","1151.8","1151.56","24701","96.38","274","20210510"
"JSWISPL","61.3","61.3","438056","100.0","268","20210510"
"TATASTEEL","1233.9","1217.71","41108381","21.63","108294","20210511"
"HDFCBANK","1403.55","1408.24","7259517","59.78","61111","20210511"
"HDFC","2464.2","2468.83","3728419","64.4","59281","20210511"
"RELIANCE","1933.15","1929.4","6220217","48.8","58567","20210511"
"INFY","1330.65","1330.0","6420988","64.21","54830","20210511"
"TCS","3122.6","3111.04","2415625","61.47","46193","20210511"
"AXISBANK","707.35","708.03","12736700","47.67","42985","20210511"
"BHEL","73.45","71.21","510138918","10.64","38663","20210511"
"ICICIBANK","609.85","608.18","13818480","42.36","35602","20210511"
"SBIN","364.65","362.8","41892770","21.6","32835","20210511"
"PNB","35.05","34.63","231689524","35.7","28646","20210511"
"KOTAKBANK","1755.45","1765.81","2955976","54.41","28398","20210511"
"TATAMOTORS","315.55","316.17","58472304","14.94","27615","20210511"
"SAIL","140.4","141.15","117184978","15.29","25295","20210511"
"IOC","103.7","102.94","76907792","31.58","25002","20210511"
"ULTRACEMCO","6490.6","6527.13","1139377","33.57","24963","20210511"
"JSWSTEEL","734.25","741.4","16277517","18.35","22150","20210511"
"BAJFINANCE","5424.7","5423.67","1617248","18.66","16369","20210511"
"M&M","776.0","772.58","2938331","42.36","9616","20210511"
"MARUTI","6736.65","6709.69","406046","32.26","8787","20210511"
"CPSEETF","25.53","25.11","35790562","90.88","8167","20210511"
"MOTHERSUMI","233.15","235.28","16809016","20.42","8074","20210511"
"APOLLOHOSP","3258.2","3277.53","670759","33.97","7468","20210511"
"IDFCFIRSTB","56.25","55.56","39068191","34.1","7402","20210511"
"YESBANK","13.15","13.18","141571542","37.35","6969","20210511"
"RPOWER","7.3","7.14","172976218","47.23","5832","20210511"
"SUZLON","6.15","6.06","189569965","38.97","4477","20210511"
"BAJAJFINSV","11193.05","11226.32","198664","18.36","4094","20210511"
"SOUTHBANK","10.6","10.44","141579498","26.46","3911","20210511"
"DMART","2850.55","2856.03","323511","36.93","3411","20210511"
"IDEA","8.1","8.12","86024008","48.33","3375","20210511"
"LALPATHLAB","2833.15","2857.59","220247","43.04","2708","20210511"
"JKCEMENT","2776.7","2774.93","98407","87.12","2379","20210511"
"QUESS","639.85","644.47","361385","93.12","2168","20210511"
"MUTHOOTFIN","1197.95","1206.54","539855","31.64","2060","20210511"
"TRENT","763.2","761.74","823028","30.97","1941","20210511"
"METROPOLIS","2304.85","2300.48","107017","70.63","1738","20210511"
"JPPOWER","3.6","3.49","78524438","60.34","1653","20210511"
"BATAINDIA","1368.45","1360.65","307160","25.37","1060","20210511"
"GTPL","139.0","140.06","620617","93.19","810","20210511"
"NH","407.25","408.39","161512","57.31","378","20210511"
"ICICILIQ","999.99","999.99","32910","98.26","323","20210511"
"RELAXO","892.55","896.98","99054","36.09","320","20210511"
"NETFMID150","94.92","94.79","290768","94.89","261","20210511"
"RENUKA","13.4","13.4","1887595","100.0","252","20210511"
"NETFSDL26","102.82","102.78","245145","100.0","251","20210511"
"KANORICHEM","128.2","126.22","146047","93.0","171","20210511"
"ICICITECH","263.17","262.61","60378","97.48","154","20210511"
"GODREJCP","872.85","865.11","27379767","25.47","60324","20210512"
"TATASTEEL","1179.15","1212.56","30889192","15.19","56909","20210512"
"HDFCBANK","1399.5","1398.25","6887463","57.1","54993","20210512"
"RELIANCE","1913.15","1915.34","6081627","45.4","52878","20210512"
"TATAMOTORS","326.0","326.37","111584920","11.87","43224","20210512"
"HDFC","2438.7","2426.2","3168128","50.87","39100","20210512"
"INFY","1327.0","1323.46","5241898","55.97","38829","20210512"
"SBIN","367.7","368.18","53436590","19.62","38608","20210512"
"TCS","3087.6","3086.76","1978558","61.65","37648","20210512"
"ICICIBANK","594.75","599.08","14785569","40.75","36098","20210512"
"PNB","37.1","37.15","345869236","27.89","35834","20210512"
"BHEL","71.4","73.42","347503495","12.1","30879","20210512"
"KOTAKBANK","1718.85","1724.91","3181830","53.85","29553","20210512"
"BEL","146.85","151.38","45341627","40.55","27832","20210512"
"HINDUNILVR","2328.95","2341.16","2053932","57.75","27771","20210512"
"AXISBANK","691.3","695.77","10856584","34.9","26366","20210512"
"SAIL","132.2","136.55","95677126","19.26","25162","20210512"
"MARUTI","6817.55","6771.29","770204","40.49","21115","20210512"
"BANKBARODA","77.4","77.61","128513179","18.89","18838","20210512"
"BAJFINANCE","5358.4","5384.0","1539336","17.74","14698","20210512"
"M&M","759.7","760.31","3480378","42.19","11165","20210512"
"IDEA","8.8","8.8","397884076","31.36","10979","20210512"
"APOLLOHOSP","3196.75","3213.63","703372","44.73","10111","20210512"
"RPOWER","6.95","7.21","292590749","41.01","8651","20210512"
"MOTHERSUMI","235.9","236.82","17191799","19.18","7810","20210512"
"YESBANK","13.3","13.39","159663998","31.72","6780","20210512"
"ULTRACEMCO","6388.85","6428.37","392657","22.73","5736","20210512"
"IDFCFIRSTB","55.2","55.87","32240853","29.18","5256","20210512"
"SOUTHBANK","11.3","11.1","97200729","44.4","4789","20210512"
"BAJAJFINSV","11087.95","11158.59","226953","14.87","3766","20210512"
"DMART","2856.15","2852.49","246319","47.05","3305","20210512"
"BAJAJHLDNG","3548.6","3542.22","90657","92.65","2975","20210512"
"JPPOWER","3.95","3.87","193633095","38.04","2850","20210512"
"MUTHOOTFIN","1169.1","1175.65","590285","39.5","2740","20210512"
"LALPATHLAB","2769.5","2792.72","284149","30.71","2437","20210512"
"METROPOLIS","2368.85","2401.9","201961","40.54","1966","20210512"
"BATAINDIA","1348.75","1357.02","592187","22.44","1803","20210512"
"QUESS","643.2","641.23","245315","88.4","1390","20210512"
"TRENT","770.1","770.13","414426","34.08","1087","20210512"
"SCHAEFFLER","4969.55","4950.22","18017","92.25","822","20210512"
"TVTODAY","278.5","282.86","269827","90.37","689","20210512"
"NH","411.55","411.1","167986","62.48","431","20210512"
"MMFL","460.45","457.38","79987","91.46","334","20210512"
"RELAXO","898.3","897.79","68563","48.06","295","20210512"
"ICICILOVOL","121.02","121.35","258207","92.15","288","20210512"
"ICICILIQ","999.99","999.99","27720","96.55","267","20210512"
"JKCEMENT","2776.25","2777.1","16170","59.02","265","20210512"
"NETFSDL26","102.9","102.9","245101","100.0","252","20210512"
"RENUKA","14.05","14.05","1747160","100.0","245","20210512"
"TATASTEEL","1132.1","1143.25","37648032","16.52","71109","20210514"
"ASIANPAINT","2774.5","2767.41","10543708","18.0","52527","20210514"
"CIPLA","904.05","909.84","15048471","32.2","44085","20210514"
"RELIANCE","1937.3","1925.2","6134079","35.91","42402","20210514"
"SBIN","360.45","365.59","51722170","21.3","40284","20210514"
"HDFCBANK","1386.85","1388.69","5302071","54.29","39973","20210514"
"TCS","3051.5","3051.89","2043935","62.7","39111","20210514"
"JINDALSTEL","417.3","417.16","53810900","16.73","37552","20210514"
"ITC","212.25","210.46","61647120","28.81","37373","20210514"
"INFY","1316.4","1316.25","4824609","55.57","35285","20210514"
"HINDALCO","382.8","381.87","41384078","22.01","34785","20210514"
"TATAMOTORS","312.25","318.19","81305325","13.18","34103","20210514"
"KOTAKBANK","1706.65","1712.93","2937892","65.95","33187","20210514"
"HDFC","2422.0","2420.55","2254726","56.29","30719","20210514"
"SAIL","127.15","128.47","147648853","15.13","28708","20210514"
"ICICIBANK","597.3","597.2","12675754","37.14","28115","20210514"
"HCLTECH","910.35","903.96","5184569","59.58","27922","20210514"
"AXISBANK","685.0","690.01","9377968","33.95","21971","20210514"
"MARUTI","6736.4","6745.87","647029","46.75","20406","20210514"
"BHEL","68.0","69.64","162636270","15.96","18075","20210514"
"M&M","741.5","744.74","4984389","48.5","18002","20210514"
"PNB","36.8","37.38","185587845","23.85","16548","20210514"
"BANKBARODA","74.0","75.92","86863950","21.23","13998","20210514"
"NATIONALUM","71.35","71.85","88077275","21.89","13851","20210514"
"LIQUIDBEES","1000.0","1000.01","1476182","90.98","13430","20210514"
"BAJAJFINSV","10971.5","10975.68","313603","33.17","11415","20210514"
"APOLLOHOSP","3140.95","3145.99","842794","41.17","10915","20210514"
"BAJFINANCE","5330.35","5318.16","1525762","12.99","10537","20210514"
"ULTRACEMCO","6368.1","6352.29","405281","32.11","8265","20210514"
"YESBANK","13.2","13.27","85666983","42.27","4805","20210514"
"MOTHERSUMI","228.45","231.85","8930101","21.66","4483","20210514"
"IDEA","8.65","8.75","171516548","29.5","4426","20210514"
"GOLDBEES","41.49","41.46","9842362","88.57","3614","20210514"
"IDFCFIRSTB","54.2","54.57","23847158","27.61","3592","20210514"
"DMART","2844.65","2848.84","227259","52.89","3424","20210514"
"RPOWER","6.8","6.86","108015150","45.14","3344","20210514"
"BATAINDIA","1386.9","1374.84","875685","20.64","2485","20210514"
"LALPATHLAB","2719.45","2749.1","246373","35.95","2434","20210514"
"MUTHOOTFIN","1167.95","1165.07","600997","34.72","2431","20210514"
"JKCEMENT","2760.05","2763.77","95213","88.26","2322","20210514"
"PDSMFL","717.0","700.7","281854","95.77","1891","20210514"
"YAARII","90.15","91.03","2203706","93.59","1877","20210514"
"JPPOWER","3.9","3.98","142130225","33.05","1869","20210514"
"NH","433.75","436.56","1101454","27.89","1340","20210514"
"RELAXO","925.4","924.56","402818","33.16","1234","20210514"
"N100","962.73","960.47","130744","94.54","1187","20210514"
"TRENT","772.6","773.92","541416","24.69","1034","20210514"
"TVTODAY","278.1","280.25","303478","88.35","751","20210514"
"SUNCLAYLTD","3103.05","3109.93","23654","90.86","668","20210514"
"EBBETF0430","1153.99","1153.25","54853","92.34","584","20210514"
"METROPOLIS","2333.65","2335.14","41636","41.41","402","20210514"
"ICICITECH","257.28","257.54","60198","90.88","140","20210514"
"SBIN","383.1","376.9","106555796","25.31","101657","20210517"
"HDFC","2486.45","2462.78","4452603","63.7","69856","20210517"
"HDFCBANK","1440.25","1421.89","7560346","52.84","56805","20210517"
"TCS","3069.75","3054.41","2890462","60.88","53753","20210517"
"TATASTEEL","1150.85","1128.94","28753430","15.63","50752","20210517"
"LT","1386.75","1392.51","9620003","37.23","49871","20210517"
"ICICIBANK","623.6","616.4","20453101","39.42","49693","20210517"
"KOTAKBANK","1744.15","1738.13","4211441","61.83","45258","20210517"
"MARUTI","6717.85","6764.44","995827","63.28","42624","20210517"
"HCLTECH","922.15","921.02","7956551","57.11","41851","20210517"
"RELIANCE","1960.35","1950.25","5479424","36.63","39139","20210517"
"INFY","1329.4","1329.34","5017129","56.66","37792","20210517"
"AXISBANK","709.25","701.13","12099197","42.52","36072","20210517"
"BAJFINANCE","5430.1","5418.03","2411583","25.31","33068","20210517"
"CIPLA","881.2","881.02","14122085","24.84","30907","20210517"
"BHARTIARTL","549.65","551.79","13424956","37.26","27600","20210517"
"JINDALSTEL","435.5","425.85","21659972","29.88","27565","20210517"
"SAIL","130.55","127.4","81100256","16.5","17048","20210517"
"BANKBARODA","77.1","76.41","73000338","27.12","15125","20210517"
"BHEL","71.25","69.24","119433001","14.76","12207","20210517"
"HFCL","42.55","41.27","124650991","23.11","11886","20210517"
"M&M","753.55","747.27","3479938","44.5","11570","20210517"
"PNB","37.65","37.49","108033820","26.88","10886","20210517"
"FEDERALBNK","81.55","80.93","97918564","13.64","10810","20210517"
"MOTHERSUMI","240.2","239.34","23953975","15.78","9049","20210517"
"APOLLOHOSP","3152.35","3150.08","847722","32.0","8545","20210517"
"ULTRACEMCO","6532.35","6476.29","357292","29.06","6724","20210517"
"BATAINDIA","1406.4","1409.66","2647921","17.64","6583","20210517"
